"filename", "language", "TypeScript JSX", "XML", "TypeScript", "CSS", "JSON with Comments", "JSON", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Whiteboard/Giphy.tsx", "TypeScript JSX", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 59
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Whiteboard/Whiteboard.tsx", "TypeScript JSX", 598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 640
"/Users/casey/Documents/appworks/everyday/src/pages/Dashboard/Whiteboard/WhiteboardMini.tsx", "TypeScript JSX", 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 212
"/Users/casey/Documents/appworks/everyday/src/pages/Family/Chat.tsx", "TypeScript JSX", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 149
"/Users/casey/Documents/appworks/everyday/src/pages/Family/ChatApp.tsx", "TypeScript JSX", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"/Users/casey/Documents/appworks/everyday/src/pages/Family/ChatMini.tsx", "TypeScript JSX", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 121
"/Users/casey/Documents/appworks/everyday/src/pages/Family/FamilyForm.tsx", "TypeScript JSX", 1182, 0, 0, 0, 0, 0, 0, 0, 0, 32, 76, 1290
"/Users/casey/Documents/appworks/everyday/src/pages/Family/FamilyMini.tsx", "TypeScript JSX", 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 267
"/Users/casey/Documents/appworks/everyday/src/pages/Family/FamilySetup.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/casey/Documents/appworks/everyday/src/pages/Family/LogOut.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/casey/Documents/appworks/everyday/src/pages/Family/Message.tsx", "TypeScript JSX", 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 159
"/Users/casey/Documents/appworks/everyday/src/pages/Family/MessageMini.tsx", "TypeScript JSX", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 166
"/Users/casey/Documents/appworks/everyday/src/pages/Family/SendMessage.tsx", "TypeScript JSX", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 125
"/Users/casey/Documents/appworks/everyday/src/pages/Family/SendMessageMini.tsx", "TypeScript JSX", 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 156
"/Users/casey/Documents/appworks/everyday/src/pages/Family/SignIn.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/casey/Documents/appworks/everyday/src/pages/Login/Welcome.tsx", "TypeScript JSX", 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 267
"/Users/casey/Documents/appworks/everyday/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/casey/Documents/appworks/everyday/src/reportWebVitals.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/casey/Documents/appworks/everyday/src/setupTests.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/casey/Documents/appworks/everyday/src/theme.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/casey/Documents/appworks/everyday/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 13990, 1, 14, 62, 26, 21601, 24, 26, 69, 285, 1358, 37456
